Name,Cannes 2026,Checked,Director,Link,Place,Year
Dwelling in the Fuchun Mountains,No,Yes,Gu Xiaogang,https://en.wikipedia.org/wiki/Dwelling_in_the_Fuchun_Mountains_(film),"Hangzhou, China",2019
Only Lovers Left Alive,No,Yes,Jim Jarmusch,https://en.wikipedia.org/wiki/Only_Lovers_Left_Alive,Tangier,2013
Afternoons of Solitude,No,Yes,Albert Serra,https://en.wikipedia.org/wiki/Afternoons_of_Solitude,Madrid,2024
Yes!,No,Yes,Nadav Lapid,https://en.wikipedia.org/wiki/Yes!_(film),Tel Aviv,2025
One Battle After Another,No,Yes,Paul Thomas Anderson,https://en.wikipedia.org/wiki/One_Battle_After_Another,Sacramento,2025
The Secret Agent,No,Yes,Kleber Mendonça Filho,https://en.wikipedia.org/wiki/The_Secret_Agent_(2025_film),Recife,2025
L'aventura,No,Yes,Sophie Letourneur,https://www.imdb.com/title/tt36594601/,"Carloforte, Sardinia",2025
7 Walks with Mark Brown,No,Yes,"Pierre Creton, Vincent Barré",https://en.wikipedia.org/wiki/7_Walks_with_Mark_Brown,"Le Havre, Normandy, France",2024
Nouvelle Vague,No,Yes,Richard Linklater,https://en.wikipedia.org/wiki/Nouvelle_Vague_(2025_film),Paris,2025
Miroirs No. 3,No,Yes,Christian Petzold,https://en.wikipedia.org/wiki/Miroirs_No._3,Berlin,2025
Misericordia,No,Yes,Alain Guiraudie,https://www.imdb.com/title/tt32085997/,"Sauclières, Aveyron",2023
The Other Way Around,No,No,Jonás Trueba,https://www.imdb.com/title/tt32128317/,Madrid,2023
The Zone of Interest,No,Yes,Jonathan Glazer,https://www.imdb.com/title/tt7160372/,"Auschwitz, Oświęcim",2023
In Water,No,No,Hong Sang-soo,https://www.imdb.com/title/tt26448971/,Jeju Island,2023
May December,No,Yes,Todd Haynes,https://www.imdb.com/title/tt13651794/,"Savannah, Georgia",2023
Evil Does Not Exist,No,Yes,Ryusuke Hamaguchi,https://www.imdb.com/title/tt28490044/,"Yamanashi-Nagano, Japan",2023
This Life of Mine,No,No,Sophie Fillières,https://www.imdb.com/title/tt30797042/,Paris,2023
The Delinquents,No,No,Rodrigo Moreno,https://www.imdb.com/title/tt18558306/,Buenos Aires,2023
All We Imagine as Light,No,Yes,Payal Kapadia,https://www.imdb.com/title/tt32086077/,Mumbai,2024
Trap,No,No,M. Night Shyamalan,https://www.imdb.com/title/tt26753003/,Philadelphia,2023
Pacifiction,No,Yes,Albert Serra,https://www.imdb.com/title/tt13702796/,Tahiti,2022
Licorice Pizza,No,Yes,Paul Thomas Anderson,https://www.imdb.com/title/tt11271038/,San Fernando Valley,2022
EO,No,No,Jerzy Skolimowski,https://www.imdb.com/title/tt19652910/,"Podkarpackie, Poland",2022
Introduction,No,No,Hong Sang-soo,https://www.imdb.com/title/tt13600988/,Seoul & Berlin,2022
Wheel of Fortune and Fantasy,No,Yes,Ryusuke Hamaguchi,https://www.imdb.com/title/tt13274016/,Tokyo,2022
Nobody's Hero,No,No,Alain Guiraudie,https://www.imdb.com/title/tt15370316/,Clermont-Ferrand,2022
Who's Stopping Us,No,No,Jonás Trueba,https://www.imdb.com/title/tt14888474/,Madrid,2022
Saturn Bowling,No,No,Patricia Mazuy,https://www.imdb.com/title/tt21938632/,Northern France,2022
Nope,No,No,Jordan Peele,https://www.imdb.com/title/tt10954984/,Santa Clarita Valley,2022
Apollo 10 1/2: A Space Age Childhood,No,No,Richard Linklater,https://www.imdb.com/title/tt7983894/,"Houston, Texas",2022
Fallen Leaves,No,Yes,Aki Kaurismäki,https://www.imdb.com/title/tt21027780/,Helsinki,2023
Showing Up,No,Yes,Kelly Reichardt,https://www.imdb.com/title/tt15444722/,"Portland, Oregon",2023
Do Not Expect Too Much from the End of the World,No,Yes,Radu Jude,https://www.imdb.com/title/tt21840746/,Bucharest,2023
Trenque Lauquen,No,No,Laura Citarella,https://www.imdb.com/title/tt14979122/,Trenque Lauquen,2023
Close Your Eyes,No,No,Víctor Erice,https://www.imdb.com/title/tt15433842/,Madrid,2023
Unrest,No,No,Cyril Schäublin,https://www.imdb.com/title/tt20243532/,"Saint-Imier, Switzerland",2023
A Prince,No,No,Pierre Creton,https://www.imdb.com/title/tt28073148/,Normandy,2023
The Fabelmans,No,No,Steven Spielberg,https://www.imdb.com/title/tt14208870/,Los Angeles,2023
Last Summer,No,Yes,Catherine Breillat,https://www.imdb.com/title/tt21316212/,Paris,2023
Anatomy of a Fall,No,Yes,Justine Triet,https://www.imdb.com/title/tt17009710/,French Alps,2023
The Temple Woods Gang,No,No,Rabah Ameur-Zaïmeche,https://www.imdb.com/title/tt28177268/,Seine-Saint-Denis,2023
Malmkrog,No,No,Cristi Puiu,https://www.imdb.com/title/tt8369690/,Transylvania,2020
Love Affair(s),No,No,Emmanuel Mouret,https://www.imdb.com/title/tt12241080/,Paris,2020
City Hall,No,No,Frederick Wiseman,https://www.imdb.com/title/tt13108082/,Boston,2020
Hotel by the River,No,No,Hong Sang-soo,https://www.imdb.com/title/tt8768578/,Seoul,2020
The August Virgin,No,No,Jonás Trueba,https://www.imdb.com/title/tt10484974/,Madrid,2020
Enormous,No,No,Sophie Letourneur,https://www.imdb.com/title/tt10282848/,Paris,2020
The Salt of Tears,No,No,Philippe Garrel,https://www.imdb.com/title/tt10525596/,Paris,2020
Uncut Gems,No,Yes,"Benny Safdie, Joshua Safdie",https://www.imdb.com/title/tt5727208/,New York City,2020
The Woman Who Ran,No,No,Hong Sang-soo,https://www.imdb.com/title/tt12498546/,Seoul,2020
Benedetta,No,Yes,Paul Verhoeven,https://www.imdb.com/title/tt6823368/,"Pescia, Tuscany",2021
France,No,Yes,Bruno Dumont,https://www.imdb.com/title/tt9714030/?ref_=fn_t_1,Palais de L'Élysée,2021
The Girl and the Spider,No,No,"Ramon Zürcher, Silvan Zürcher",https://www.imdb.com/title/tt13576038/,Bern,2021
Drive My Car,No,Yes,Ryusuke Hamaguchi,https://www.imdb.com/title/tt14039582/,Hiroshima,2021
The Card Counter,No,No,Paul Schrader,https://www.imdb.com/title/tt11196036/,Atlantic City,2021
The French Dispatch,No,Yes,Wes Anderson,https://www.imdb.com/title/tt8847712/,Angoulême,2021
Annette,No,Yes,Leos Carax,https://www.imdb.com/title/tt6217926/,Los Angeles,2021
Memoria,No,No,Apichatpong Weerasethakul,https://www.imdb.com/title/tt10313800/,Bogotá,2021
First Cow,No,Yes,Kelly Reichardt,https://www.imdb.com/title/tt11064510/,Oregon,2021
Fish Tank,No,Yes,Andrea Arnold,https://www.imdb.com/title/tt1232776/?ref_=fn_i_1,"Mardyke Close, Rainham, RM13 8, United Kingdom",2009
Saltburn,No,Yes,,,"Lowick, Kettering, England, United Kingdom",
My Oxford Years,No,Yes,,,"Oxford, England, United Kingdom",
The Banshees of Inisherin,No,Yes,,,Aran Islands,
Lawrence of Arabia,No,Yes,,,"Aqaba, Jordan",
It Was Just an Accident,No,Yes,,,Iran,
Empire of light,No,Yes,,,"Margate, England, United Kingdom",
L'ami de mon amie,No,Yes,Éric Rohmer,https://www.imdb.com/title/tt0092550/,Cergy-Pontoise,1987
Aftersun,No,Yes,Charlotte Wells,https://www.imdb.com/title/tt19770238/?ref_=ext_shr_lnk,"Ölüdeniz, 费特希耶/穆拉省, 土耳其",2022
La grande bellezza,No,Yes,https://www.imdb.com/name/nm0815204/?ref_=tt_ov_1_1,https://www.imdb.com/title/tt2358891/?ref_=ext_shr_lnk,"罗马, 拉齐奥, 意大利",2013
Ida,Yes,Yes,Paweł Pawlikowski,,"Lublin, Lublin Voivodeship, Poland",2013
The Double Life of Véronique,No,Yes,Krzysztof Kieślowski,,"Kraków, Poland",1991
Three Colours: Blue,No,Yes,Krzysztof Kieślowski,,"Paris, France",1993
Man of Iron,No,No,Andrzej Wajda,,"Gdańsk, Poland",1981
Cold War,Yes,No,Paweł Pawlikowski,,"Warsaw, Poland",2018
A Short Film About Killing,No,Yes,Krzysztof Kieślowski,,"Warsaw, Poland",1988
Three Colours: Red,No,Yes,Krzysztof Kieślowski,,"Geneva, Switzerland",1994
The Pianist,No,Yes,Roman Polański,,"Warsaw, Poland",2002
Three Colours: White,No,Yes,Krzysztof Kieślowski,,"Warsaw, Poland",1994
Dekalog,No,No,Krzysztof Kieślowski,,"Warsaw, Poland",1989
The Tin Drum,No,Yes,Volker Schlöndorff,,"Gdańsk, Poland",1979
Notre salut,Yes,No,Emmanuel Marre,,"Paris, France",2026
Moulin,Yes,No,László Nemes,,"Budapest, Hungary",2026
Gentle Monster,Yes,No,Marie Kreutzer,,"Vienna, Austria",2026
Nagi Notes,Yes,No,Koji Fukada,,"Tokyo, Japan",2026
Histoire de la nuit,Yes,No,Léa Mysius,,France,2026
The Man I Love,Yes,No,Ira Sachs,,"New York, USA",2026
Minotaur,Yes,No,Andrey Zvyagintsev,,"Paris, France",2026
The Beloved,Yes,No,Rodrigo Sorogoyen,,"Fuerteventura, Spain",2026
Fjord,Yes,No,Cristian Mungiu,,"Ålesund, Norway",2026
Sheep in the Box,Yes,No,Hirokazu Kore-eda,,"Tokyo, Japan",2026
Fatherland,Yes,No,Paweł Pawlikowski,,"Legnica, Poland",2026
Hope,Yes,No,Na Hong-Jin,,South Korea,2026
Coward,Yes,No,Lukas Dhont,,"Flanders, Belgium",2026
A Woman’s Life,Yes,No,Charline Bourgeois-Tacquet,,"Paris, France",2026
Bitter Christmas,Yes,No,Pedro Almodóvar,,"Madrid, Spain",2026
The Unknown,Yes,No,Arthur Harari,,"Paris, France",2026
La Bola Negra,Yes,No,Javier Ambrossi & Javier Calvo,,"Madrid, Spain",2026
Garance,Yes,No,Jeanne Herry,,"Paris, France",2026
All of a Sudden,Yes,No,Ryusuke Hamaguchi,,"Paris, France",2026
The Dreamed Adventure,Yes,No,Valeska Grisebach,,"Berlin, Germany",2026
Parallel Tales,Yes,No,Asghar Farhadi,,"Paris, France",2026
Son of Saul,Yes,Yes,László Nemes,,"Budapest, Hungary",2015
"4 Months, 3 Weeks and 2 Days",Yes,Yes,Cristian Mungiu,,"Bucharest, Romania",2007
Leviathan,Yes,No,Andrey Zvyagintsev,,"Teriberka, Russia",2014
Shoplifters,Yes,No,Hirokazu Kore-eda,,"Tokyo, Japan",2018
Her Private Hell,Yes,No,Nicolas Winding Refn,,"Tokyo, Japan",2026
Full Phil,Yes,No,Quentin Dupieux,,"Paris, Ile-de-France, France",2026
Roma Elastica,Yes,No,Bertrand Mandico,,"Rome, Italy",2026
John Lennon: The Last Interview,Yes,No,Steven Soderbergh,,"New York, USA",2026
Jim Queen,Yes,No,Nicolas Athane & Marco Nguyen,,"Paris, France",2026
The Neon Demon,Yes,Yes,Nicolas Winding Refn,,"Los Angeles, USA",2016
Trainspotting,No,Yes,Danny Boyle,,"Princes Street, Edinburgh, United Kingdom",1996
A Clockwork Orange,No,Yes,Stanley Kubrick,,"Southmere Lake, Thamesmead, London",1971
Blow-Up,No,Yes,Michelangelo Antonioni,,"Maryon Park, Charlton, London",1966
Control,No,Yes,Anton Corbijn,,"Macclesfield, Cheshire",2007
"Lock, Stock and Two Smoking Barrels",No,Yes,Guy Ritchie,,"Park Street, Borough, London",1998
The Wailing,Yes,Yes,Na Hong-Jin,,"Gokseong, South Korea",2016
"Sex, Lies, and Videotape",No,Yes,Steven Soderbergh,https://movie.douban.com/subject/1292341/,"Baton Rouge, Louisiana, USA",1989
Se7en,No,Yes,David Fincher,https://movie.douban.com/subject/1292223/,"New York City, USA",1995
The Lives of Others,No,Yes,Florian Henckel von Donnersmarck,https://movie.douban.com/subject/1900841/,"East Berlin, Germany",2006
